customer_id,age,annual_income,monthly_income,employment_years,loan_amount,loan_term_months,interest_rate,emi,num_existing_loans,credit_utilization,num_late_payments_12m,credit_history_years,default
1,25,605745.72,50478.81,9.6,489398.86,36,8.66,15485.43,4,0.03,2,4,0
2,58,716490.69,59707.56,8.9,1173102.26,84,13.02,21353.79,0,0.186,2,37,0
3,53,349842.4,29153.53,15.9,457326.5,12,15.43,41370.37,1,0.277,2,29,1
4,42,160528.29,13377.36,0.0,199459.71,84,9.27,3236.52,4,0.321,0,20,0
5,42,719463.78,59955.32,0.0,252012.82,24,9.98,11626.79,2,0.333,0,22,0
6,63,178246.92,14853.91,2.4,300062.23,48,18.13,8834.72,1,0.264,0,39,0
7,25,351154.68,29262.89,0.0,564983.68,36,9.78,18172.13,0,0.456,0,4,0
8,55,260832.32,21736.03,4.9,106504.64,36,22.88,4116.11,1,0.471,1,33,0
9,30,239112.0,19926.0,10.9,118794.19,24,10.59,5514.15,0,0.125,2,10,0
10,25,434586.4,36215.53,9.5,547392.57,84,19.6,12024.01,0,0.342,1,4,0
11,46,335115.26,27926.27,13.1,481927.1,84,20.9,10964.46,1,0.063,0,23,0
12,68,383318.2,31943.18,9.9,245303.43,84,13.96,4591.57,0,0.076,0,45,0
13,57,197236.12,16436.34,6.0,416776.16,60,22.95,11737.15,1,0.331,1,37,1
14,58,271838.25,22653.19,5.4,497496.04,36,14.71,17175.3,2,0.012,1,35,0
15,56,201840.39,16820.03,10.2,144964.72,24,12.94,6887.8,4,0.036,0,32,0
16,59,268461.88,22371.82,0.3,550193.41,48,19.43,16575.95,1,0.103,1,37,1
17,46,279461.24,23288.44,0.0,432343.74,60,13.52,9952.62,0,0.237,1,23,0
18,27,745754.76,62146.23,10.0,693053.92,24,19.77,35195.71,1,0.097,2,6,0
19,62,260486.35,21707.2,9.2,548424.92,48,11.77,14380.28,1,0.266,2,42,0
20,43,102457.24,8538.1,15.8,141184.0,36,11.81,4676.53,0,0.406,1,19,0
21,45,595731.75,49644.31,11.5,718257.84,48,13.75,19537.5,0,0.023,1,21,0
22,39,371249.52,30937.46,9.5,87836.78,48,18.75,2614.76,2,0.071,0,18,0
23,29,277755.02,23146.25,6.4,580199.17,12,22.82,54532.61,0,0.018,2,7,1
24,66,238325.42,19860.45,3.9,199061.29,36,20.29,7427.28,1,0.154,1,46,0
25,59,184709.05,15392.42,6.6,160324.82,84,13.67,2975.34,2,0.201,0,37,0
26,52,781541.9,65128.49,12.8,1658149.9,24,14.82,80256.4,1,0.123,2,32,0
27,40,304346.59,25362.22,10.3,121266.41,60,16.2,2961.87,1,0.352,0,16,0
28,61,124383.45,10365.29,12.7,297948.85,48,9.16,7437.13,0,0.621,1,41,0
29,47,349364.13,29113.68,8.5,336020.29,60,15.95,8162.44,0,0.302,2,25,0
30,42,542035.0,45169.58,3.5,524187.24,24,15.55,25553.27,2,0.42,0,20,0
31,43,320685.87,26723.82,13.8,579792.4,12,17.59,53042.3,2,0.092,2,21,1
32,32,188943.49,15745.29,13.4,194642.03,60,21.33,5301.92,2,0.199,0,12,0
33,25,180676.4,15056.37,8.9,148696.77,12,22.84,13977.37,2,0.127,1,4,0
34,48,187463.71,15621.98,10.8,106198.64,60,22.18,2943.97,1,0.247,0,27,0
35,64,634650.03,52887.5,10.5,611452.06,24,16.72,30149.37,1,0.399,1,40,0
36,24,286120.4,23843.37,5.7,697207.16,36,23.09,27021.41,1,0.194,0,3,1
37,63,128109.13,10675.76,6.7,64257.58,36,23.71,2511.23,0,0.063,0,42,0
38,61,359355.33,29946.28,3.5,845591.15,36,9.72,27173.82,2,0.493,1,37,1
39,34,318226.41,26518.87,6.7,483997.76,36,10.15,15651.35,1,0.328,2,12,0
40,51,236937.64,19744.8,13.2,415094.37,60,17.73,10479.79,0,0.11,4,31,0
41,29,178045.89,14837.16,12.2,361442.65,24,20.77,18532.16,2,0.405,0,8,0
42,58,174216.24,14518.02,10.8,52551.61,36,17.81,1894.86,2,0.303,2,37,0
43,55,510587.3,42548.94,12.8,1246369.94,12,15.81,112972.18,2,0.206,0,31,1
44,38,335627.24,27968.94,6.2,653566.6,84,17.99,13732.73,0,0.033,2,16,0
45,24,376744.24,31395.35,2.1,770310.03,84,12.84,13946.53,0,0.347,1,4,1
46,68,335165.39,27930.45,7.2,395180.67,60,19.21,10296.92,1,0.288,0,48,0
47,42,349355.17,29112.93,7.6,549695.85,84,22.86,13170.59,2,0.251,0,20,0
48,64,234638.82,19553.24,11.4,349881.87,48,22.85,11185.49,0,0.176,0,40,0
49,54,267556.31,22296.36,10.6,113878.76,12,21.07,10607.51,2,0.299,0,34,0
50,59,530967.4,44247.28,13.1,342660.34,36,17.56,12312.49,1,0.356,0,35,0
51,58,601568.14,50130.68,0.0,1183874.16,48,14.09,32404.58,0,0.366,0,38,0
52,30,160966.9,13413.91,4.0,215166.29,48,16.1,6108.9,0,0.43,2,9,1
53,38,267231.49,22269.29,7.5,167531.94,24,12.31,7910.59,1,0.101,0,16,0
54,43,451189.49,37599.12,10.4,979999.14,48,17.05,28303.27,1,0.333,0,20,1
55,45,759974.28,63331.19,18.5,450041.37,48,22.79,14372.76,1,0.311,3,22,0
56,23,722866.47,60238.87,3.1,1679704.99,12,17.43,153540.05,1,0.308,0,1,1
57,47,199211.25,16600.94,4.5,385686.98,24,16.07,18897.34,0,0.235,0,27,1
58,28,561026.3,46752.19,5.9,1164570.5,36,16.15,41029.14,0,0.16,0,8,0
59,57,305381.82,25448.48,4.3,416070.79,84,8.72,6635.22,2,0.419,0,33,0
60,54,499922.48,41660.21,3.6,677379.73,24,17.93,33794.67,0,0.225,1,32,1
61,66,439828.14,36652.34,8.2,209320.72,60,16.21,5113.66,1,0.047,0,46,0
62,57,157631.92,13135.99,12.9,370123.09,36,19.62,13683.54,1,0.334,2,37,0
63,38,390423.36,32535.28,8.6,427855.72,36,11.99,14208.89,0,0.104,0,16,0
64,68,490337.05,40861.42,3.7,741467.41,24,14.76,35866.78,1,0.203,1,44,0
65,41,293584.97,24465.41,7.0,107728.64,36,20.7,4042.11,0,0.484,0,21,0
66,36,262194.48,21849.54,2.8,172077.33,84,15.19,3338.9,1,0.431,0,13,0
67,65,135153.72,11262.81,12.9,297445.06,84,23.04,7160.16,0,0.563,0,43,0
68,39,417403.54,34783.63,15.4,502428.26,12,16.41,45683.29,0,0.096,0,17,1
69,24,329184.67,27432.06,0.0,356703.69,36,18.51,12987.14,1,0.064,1,2,0
70,44,187008.26,15584.02,9.1,150476.95,84,9.68,2473.29,1,0.218,2,20,0
71,59,251973.7,20997.81,4.1,606463.31,24,14.79,29344.9,2,0.381,0,38,1
72,30,320376.33,26698.03,8.3,561763.48,48,12.54,14942.77,0,0.064,0,10,0
73,43,224287.08,18690.59,7.6,299564.49,36,9.76,9632.38,1,0.104,2,21,0
74,27,296955.79,24746.32,1.3,711609.82,60,20.68,19123.56,1,0.607,1,6,0
75,54,123628.17,10302.35,14.0,188285.69,84,21.76,4382.91,4,0.049,0,34,0
76,44,582282.41,48523.53,7.2,1362628.54,84,21.39,31409.5,3,0.11,0,22,0
77,37,298926.99,24910.58,5.6,169501.52,60,13.07,3862.76,1,0.264,2,13,0
78,32,171154.72,14262.89,8.6,195852.46,24,9.24,8969.05,2,0.386,0,12,0
79,48,86694.49,7224.54,3.6,126413.61,12,17.05,11532.52,1,0.376,1,24,1
80,53,496117.2,41343.1,7.1,303145.97,12,22.78,28486.68,1,0.206,2,33,0
81,67,392011.23,32667.6,0.0,650756.42,60,15.91,15794.03,0,0.102,1,43,0
82,42,329503.7,27458.64,0.0,624510.79,84,19.32,13613.44,0,0.226,1,21,0
83,28,456719.18,38059.93,3.1,342510.86,48,19.77,10380.8,2,0.402,0,6,0
84,61,456091.72,38007.64,5.3,503402.35,24,15.76,24590.46,0,0.225,2,38,0
85,51,326837.71,27236.48,0.0,763014.0,84,18.65,16328.91,3,0.314,2,28,0
86,55,261161.14,21763.43,5.5,406079.76,24,21.17,20900.6,1,0.201,1,33,1
87,25,240729.51,20060.79,5.3,433422.55,12,10.05,38114.81,1,0.126,0,3,1
